id;movieid;genreid
1334;16869;28
1335;16869;53
1336;16869;10752
1337;9804;12
1338;9804;28
1339;8009;12
1340;8009;28
1341;8009;14
1342;9487;12
1343;9487;16
1344;9487;35
1345;9487;10751
1346;10693;16
1347;10693;10402
1348;10693;10751
1349;10693;12
1350;10693;14
1351;241554;28
1352;241554;80
1353;241554;18
1354;241554;9648
1355;241554;53
1356;136799;12
1357;136799;16
1358;136799;10751
1359;1091;27
1360;1091;9648
1361;1091;878
1362;381284;18
1363;429;37
1364;856;14
1365;856;16
1366;856;35
1367;856;80
1368;856;10751
1369;275601;35
1370;275601;18
1371;275601;10402
1372;6114;10749
1373;6114;27
1374;608;28
1375;608;12
1376;608;35
1377;608;878
1378;1988;18
1379;1988;53
1380;979;18
1381;979;53
1382;979;80
1383;979;9648
1384;2323;18
1385;2323;14
1386;34544;53
1387;34544;28
1388;34544;12
1389;34544;35
1390;34544;80
1391;290098;53
1392;290098;18
1393;290098;10749
1394;9023;37
1395;9023;16
1396;9023;12
1397;9023;35
1398;9023;10751
1399;411638;53
1400;288;37
1401;14161;28
1402;14161;12
1403;14161;878
1404;1593;28
1405;1593;12
1406;1593;35
1407;1593;10751
1408;1593;14
1409;950;16
1410;950;10751
1411;950;35
1412;950;12
1413;3133;80
1414;3133;18
1415;794;27
1416;794;53
1417;562;28
1418;562;53
1419;14836;16
1420;14836;10751
1421;22803;18
1422;22803;80
1423;22803;53
1424;402;53
1425;402;9648
1426;41439;27
1427;41439;80
1428;70981;878
1429;70981;12
1430;70981;9648
1431;10198;10749
1432;10198;10751
1433;10198;16
1434;10198;10402
1435;17692;53
1436;17692;27
1437;97;878
1438;97;28
1439;97;12
1440;13183;28
1441;13183;9648
1442;13183;878
1458;324852;12
1459;324852;16
