id;company_id;name
54051;;Atman Entertainment
54052;;Knickerbocker Films
54687;;High Top Releasing
54850;;Bulletproof Cupid
55405;;Saw Productions Inc.
55512;;Theobald Film Productions
56832;;Hands-on Producers
57408;;Mad Chance Productions
57409;;22 & Indiana Pictures
57537;;Diablo Entertainment
57750;;Twilight Productions
58321;;TSBD Louisiana
58322;;TSBD Productions
58546;;Ripken Productions
59663;;Compadre Entertainment
59778;;A113
60621;;Busted Shark Productions
60682;;Artemple - Hollywood
60746;;Unique Features
61409;;T2 Productions
61791;;Feigco Entertainment
62029;;Fremantle Productions
62230;;Pinewood Pictures
63443;;The Fyzz Facility
63484;;Awesomeness Films
63809;;Roxbury
63924;;Broken Chair Flickz
63925;;Crucial Films
65359;;Flashlight Films
65394;;Cecchi Gori Pictures
67254;;Kaap Holland Film
67412;;Movistar+
68413;;Acacia Filmed Entertainment
68506;;Gold Star Films
68621;;St. Petersburg Clearwater Film Commission
68738;;Black Hangar Studios
69110;;Tank Caterpillar
69111;;Steady Aim
69434;;B24
69484;;Alibaba Pictures Group
69485;;Odin
69656;;Brucks Entertainment
69756;;Lightstream Entertainment
72441;;TIK Films
72725;;QC Entertainment
72810;;Paradox Studios
73118;;Wrigley Pictures
73436;;Shinework Media
73437;;Taihe Entertainment
73492;;MadRiver Pictures
73625;;BH Tilt
73669;;Seven Bucks Productions
74208;;Lotus Entertainment (I)
74795;;Nu Boyana Film Studios
76043;;Revolution Sun Studios
76067;;Kontsept Film Company
76068;;Digital Image Associates
76069;;Wardour Street Pictures
76778;;Paulilu Productions
77845;;Monarchy Enterprises S.a.r.l.
77973;;Lord Miller
78093;;Paradox Film 3
78370;;La Canica Films
78685;;Cruel and Unusual Films
78821;;Setient Pictures
78995;;Cloudy Productions
79415;;MCA  Theatricals
79822;;Flexibon Films
79916;;Demarest Media
79963;;Keep Your Head
80343;;Defining
80344;;Punch Media
80835;;Route One Entertainment
81620;;TENCENT PICTURES
82798;;SUN FILM
82819;;Skydance Media
82925;;Nvizage
83024;;Levantine Films
83644;;Sneaky Shark
83645;;Huahua Media
83715;;Dawn Associates
83838;;Wanda Pictures
83857;;Ubisoft Motion Pictures
83871;;Perfect World (Beijing) Pictures Co.
84041;;Pascal Pictures
84042;;Ghostcorps
84135;;Van Brand
84424;;Vita-Ray Dutch Productions (III)
84425;;Deluxe Digital Studios
84988;;42
85283;;Los Angeles Media Fund (LAMF)
85425;;Waddieish Claretrap
85510;;FilmWave
85516;;El Bar Producciones
85573;;Agosto la Película
85902;;Mine Canarias
85983;;LEGO System A/S
86024;;Speedie Distribution
86128;;Blind Man Productions
86352;;Québec Production Services Tax Credit
86561;;Stereo D
86565;;Riche Productions
86566;;Village Roadshow Films North America
86655;;Media Rights Capital (MRC)
86766;;DMC Film
86767;;Alpha Pictures
87854;;Taken 3
87857;;Abu Dhabi Film Commission
87858;;Colorado Office of Film, Television & Media
88628;;Sor Productions
88686;;Chartoff Winkler Productions
88934;;Monkeypaw Productions
88943;;Rox Productions
88944;;Maple Cage Productions
88981;;Seaside Entertainment
89473;;Perfect World Pictures (Beijing)
89818;;Wildgaze
90517;;Secret Hideout
90622;;Toy Fight Productions
90733;;Neon
90835;;Uncharted
92138;;Amblin Partners
92392;;606 Films
92394;;Well Go USA Entertainment
92395;;Rumble Entertainment
93466;;Weying Galaxy Entertainment
94362;;Nu Image Bulgaria
