id;movieid;companyid
1195;12244;7295
1196;12244;8601
1197;12244;10280
1198;49047;6194
1199;49047;7364
1200;49047;7470
1201;106;306
1202;106;840
1203;106;1302
1204;106;1885
1205;106;5263
1206;106;5264
1207;91314;4
1208;91314;56
1209;91314;435
1210;91314;2481
1211;91314;11413
1212;91314;22826
1213;91314;38833
1214;91314;76043
1215;138832;12
1216;138832;6363
1217;138832;7364
1218;138832;16791
1219;138832;17929
1220;138832;31073
1221;324560;1972
1222;324560;6417
1223;324560;11931
1224;324560;17546
1225;324560;26590
1226;324560;39626
1227;324560;85510
1228;11544;2
1229;11544;10217
1230;9543;2
1231;9543;130
1232;807;12
1233;807;4286
1234;807;65394
1235;10538;6194
1236;745;158
1237;745;862
1238;745;915
1239;745;17032
1240;133805;3287
1241;133805;8411
1242;133805;11581
1243;262504;491
1244;262504;1632
1245;262504;10227
1246;262504;14440
1247;2105;33
1248;2105;491
1249;2105;506
1250;2105;3169
1251;6068;175
1252;6068;961
1253;6068;8816
1254;6068;9195
1255;207932;5
1256;207932;23
1257;207932;2735
1258;207932;3045
1259;207932;34034
1260;141;185
1261;141;306
1262;141;2214
1263;141;3334
1264;363676;171
1265;363676;6194
1266;363676;7383
1267;363676;7493
1268;363676;28732
1269;363676;65359
1270;136797;27
1271;136797;7294
1272;136797;8403
1273;136797;9195
1274;136797;34890
1275;136797;76043
1276;7220;35
1277;7220;827
1278;7220;11533
1279;7220;19551
1280;7220;36326
1281;654;5
1282;654;388
1283;426;4
1284;426;10715
1285;792;41
1286;792;469
1287;194662;9015
1288;194662;10104
1289;194662;22213
1290;194662;47169
1291;194662;52660
1292;1535;33
1293;1535;656
1294;1535;657
1295;1535;780
1296;1535;919
1297;1535;7385
1298;1018;373
1299;1018;635
1300;1018;636
1301;1018;637
1302;1018;5358
1303;2503;33
1304;2503;862
1305;2503;11347
1306;2503;11348
1307;2503;11349
1308;73;12
1309;73;924
1310;73;11308
1311;81870;3618
1312;81870;8249
1313;81870;8250
1314;81870;8252
1315;703;60
1316;411;5888
1317;411;10221
1318;1271;449
1319;1271;923
1320;1271;2994
1321;1271;2995
1322;1271;6194
1323;1271;7636
1324;1271;78685
1325;260346;306
1326;260346;1115
1327;260346;5358
1328;260346;6877
1329;260346;6896
1330;260346;10611
1331;260346;11261
1332;260346;22213
1333;260346;87854
1334;5176;84
1335;5176;1632
1336;5176;7295
1337;5176;10880
1338;300671;4
1339;300671;787
1340;300671;6734
1341;300671;19108
1342;300671;19477
1343;8271;4
1344;8271;27
1345;8271;2363
1346;8271;4607
1347;10555;27
1348;10555;520
1349;10555;521
1350;808;27
1351;808;520
1352;808;521
1353;340101;288
1354;340101;2395
1355;340101;6417
1356;340101;11752
1357;340101;18230
1358;340101;58546
1359;340101;62230
1360;340101;89818
1361;2832;85
1362;2832;441
1363;1584;4
1364;1584;258
1365;1584;2348
1366;1584;8647
1367;1584;21409
1368;1584;88628
1369;4922;4
1370;4922;6194
1371;4922;7383
1372;949;508
1373;949;675
1374;949;6194
1375;47971;4
1376;47971;497
1377;47971;7154
1378;47971;88943
1379;47971;88944
1380;567;4
1381;205587;79
1382;205587;6194
1383;205587;8406
1384;205587;27467
1385;192102;4022
1386;192102;6896
1387;192102;7295
1388;192102;22947
1389;192102;22948
1390;192102;22949
1391;92060;19222
1392;75656;491
1393;75656;7296
1394;75656;23271
1395;75656;23272
1396;177677;4
1397;177677;6277
1398;177677;11413
1399;177677;11461
1400;177677;21777
1401;177677;69484
1402;177677;69485
1403;209189;3672
1404;209189;23700
1405;209189;23701
1406;871;306
1407;871;12943
1408;407887;3965
1409;9479;8601
1410;9479;8835
1411;9479;9195
1412;38810;7254
1413;38810;15113
1414;38810;15115
1415;41216;79
1416;41216;6194
1417;41216;8089
1418;41216;78685
1419;170;284
1420;170;10889
1421;1439;711
1422;180863;284
1423;180863;559
1424;180863;6708
1425;180863;8087
1426;180863;8286
1427;180863;9349
1428;602;306
1429;602;347
1430;383785;73436
1431;383785;73437
1432;156022;5
1433;156022;79
1434;156022;1423
1435;156022;2767
1436;156022;34034
1437;156022;41096
1438;162;306
1439;181283;491
